Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size,num_clflush,num_clwb,num_cache_hit,num_cache_miss,cache_hit_rate
OnDemandFIFO-OnDemand-80K-NonTemporal,555861,21227776,79680,16777664,989240,23741760,0.00412742,0.0742024%,99.3285%,972062,972062,328074764,328064804,3995401,1003351,0,0,-nan%
OnDemandFIFO-OnDemand-800K-WriteThrough,500515,21227776,799456,16777664,884360,21224640,0.00441435,0.743199%,98.6501%,865789,865788,294241640,294141708,2696289,1039503,1168493,2696289,30.2344%
OnDemandFIFO-OnDemand-800K-NoOP,513459,21227776,799456,16777664,911918,21886032,0.00404568,0.733456%,98.6505%,890191,890191,302367340,302267408,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-800K-NonTemporal,498743,21227776,799456,16777664,883250,21198000,0.00425835,0.731712%,98.6488%,865650,865651,294455780,294355848,3842914,1028767,0,0,-nan%
OnDemandFIFO-OnDemand-8MB-WriteThrough,496708,21227776,7999872,16777664,823301,19759224,0.00418545,7.35092%,92.0678%,802487,802487,273349212,272349228,2637360,2233219,3492576,2637360,56.9757%
OnDemandFIFO-OnDemand-8MB-NoOP,514781,21227776,7999872,16777664,851140,20427360,0.00419808,7.39911%,92.0923%,828752,828752,282934052,281934068,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-8MB-NonTemporal,493190,21227776,7999872,16777664,816191,19588584,0.00422385,7.33919%,92.0682%,797970,797970,270768410,269768426,6057028,2205776,0,0,-nan%
OnDemandFIFO-OnDemand-80MB-WriteThrough,556645,21227776,79998720,16777664,274012,6576288,0.00377389,73.4251%,26.344%,256169,256169,91451890,81452050,2896605,15441491,28606514,2896605,90.8053%
OnDemandFIFO-OnDemand-80MB-NoOP,621337,21227776,79998720,16777664,305697,7336728,0.00366609,73.3481%,26.3558%,288228,288228,101708366,91708526,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-80MB-NonTemporal,488355,21227776,79998720,16777664,245267,5886408,0.00363193,73.5363%,26.3343%,225747,225746,81361414,71361574,27524164,13489913,0,0,-nan%
OnDemandFIFO-OnDemand-800MB-WriteThrough,656256,21227776,108789760,16777664,40857,980568,0.00347099,100%,0%,0,0,13598720,0,3361418,23608477,44044250,3361418,92.9092%
OnDemandFIFO-OnDemand-800MB-NoOP,767911,21227776,108789760,16777664,40953,982872,0.00326965,100%,0%,0,0,13598720,0,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-800MB-NonTemporal,527723,21227776,108789760,16777664,41346,992304,0.00328989,99.9999%,0.000217294%,2,0,13598720,0,38004419,18927208,0,0,-nan%
