killing previous experiments...
initializing cxl memory...
I0914 15:28:37.015628 14365 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0914 15:28:37.015667 14365 Database.h:166] creating hash tables for database...
I0914 15:28:37.019378 14365 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0914 15:28:37.019538 14365 Database.h:146] district initialization finished in 0 milliseconds.
I0914 15:28:37.095942 14365 Database.h:146] customer initialization finished in 76 milliseconds.
I0914 15:28:37.110445 14365 Database.h:146] customer_name_idx initialization finished in 14 milliseconds.
I0914 15:28:37.152709 14365 Database.h:146] item initialization finished in 42 milliseconds.
I0914 15:28:37.320472 14365 Database.h:146] stock initialization finished in 167 milliseconds.
I0914 15:28:37.357107 14365 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0914 15:28:37.357125 14365 Coordinator.h:42] Coordinator initializes 2 workers.
I0914 15:28:37.358961 14365 SundialPashaHelper.h:415] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0914 15:28:37.359100 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.360229 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.361374 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.362527 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.363672 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.364821 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.365971 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.367125 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.368283 14365 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 503 Bytes)
I0914 15:28:37.368476 14379 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0914 15:28:37.368484 14365 Coordinator.h:414] Coordinator 0 failed to connect 1(192.168.100.3:1234)'s listener 0, retry in 5 seconds.
I0914 15:28:42.368655 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368669 14365 Coordinator.h:423] Coordinator 0 connected to 1
I0914 15:28:42.368757 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368758 14365 Coordinator.h:423] Coordinator 0 connected to 2
I0914 15:28:42.368773 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368793 14379 Coordinator.h:383] Listener accepted connection from coordinator 1
I0914 15:28:42.368803 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368805 14379 Coordinator.h:383] Listener accepted connection from coordinator 2
I0914 15:28:42.368809 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368810 14379 Coordinator.h:383] Listener accepted connection from coordinator 5
I0914 15:28:42.368830 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368832 14365 Coordinator.h:423] Coordinator 0 connected to 3
I0914 15:28:42.368901 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368902 14365 Coordinator.h:423] Coordinator 0 connected to 4
I0914 15:28:42.368954 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368956 14365 Coordinator.h:423] Coordinator 0 connected to 5
I0914 15:28:42.368976 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368978 14379 Coordinator.h:383] Listener accepted connection from coordinator 7
I0914 15:28:42.368999 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.369000 14379 Coordinator.h:383] Listener accepted connection from coordinator 3
I0914 15:28:42.369009 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.369009 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.369012 14365 Coordinator.h:423] Coordinator 0 connected to 6
I0914 15:28:42.369014 14379 Coordinator.h:383] Listener accepted connection from coordinator 6
I0914 15:28:42.369077 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.369081 14379 Coordinator.h:383] Listener accepted connection from coordinator 4
I0914 15:28:42.369082 14379 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0914 15:28:42.369081 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.369097 14365 Coordinator.h:423] Coordinator 0 connected to 7
I0914 15:28:42.369153 14365 Coordinator.h:435] Coordinator 0 connected to all peers.
I0914 15:28:42.369169 14365 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0914 15:28:42.369271 14365 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0914 15:28:42.369308 14380 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0914 15:28:42.369333 14365 Coordinator.h:146] Coordinator starts to run 3 workers.
I0914 15:28:42.369352 14381 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0914 15:28:42.369383 14382 Executor.h:74] Executor 0 starts.
I0914 15:28:42.369405 14382 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0914 15:28:42.369431 14384 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0914 15:28:42.369470 14383 Executor.h:74] Executor 1 starts.
I0914 15:28:42.369477 14383 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0914 15:28:43.369494 14365 Coordinator.h:237] commit: 136408 abort: 6416 (648/5399/369), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1965572, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:56.370483 14365 Coordinator.h:237] commit: 136692 abort: 6466 (687/5393/386), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1968487, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:57.370555 14365 Coordinator.h:237] commit: 137109 abort: 6344 (656/5254/434), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1979642, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:58.370628 14365 Coordinator.h:237] commit: 137510 abort: 6379 (671/5332/376), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1984397, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:59.370702 14365 Coordinator.h:237] commit: 137027 abort: 6400 (665/5315/420), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1982726, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:00.370771 14365 Coordinator.h:237] commit: 137365 abort: 6460 (721/5359/380), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1979371, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:01.370844 14365 Coordinator.h:237] commit: 137663 abort: 6440 (729/5300/411), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1987536, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:02.370918 14365 Coordinator.h:237] commit: 136640 abort: 6388 (628/5358/402), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1975453, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:03.370990 14365 Coordinator.h:237] commit: 137056 abort: 6446 (702/5348/396), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1984509, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:04.371063 14365 Coordinator.h:237] commit: 136709 abort: 6417 (656/5343/418), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1975545, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:05.371133 14365 Coordinator.h:237] commit: 137308 abort: 6436 (674/5404/358), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1981466, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:06.371206 14365 Coordinator.h:237] commit: 136889 abort: 6410 (691/5341/378), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1973512, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:07.371280 14365 Coordinator.h:237] commit: 137253 abort: 6416 (687/5332/397), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1982584, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:08.371348 14365 Coordinator.h:237] commit: 136928 abort: 6483 (686/5379/418), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1974613, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:09.371420 14365 Coordinator.h:237] commit: 136718 abort: 6398 (676/5321/401), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1973720, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:10.371493 14365 Coordinator.h:237] commit: 137058 abort: 6454 (727/5339/388), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1982397, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:11.371567 14365 Coordinator.h:237] commit: 137038 abort: 6360 (663/5337/360), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1982046, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:12.371639 14365 Coordinator.h:237] commit: 135786 abort: 6518 (668/5477/373), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1964185, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:13.371708 14365 Coordinator.h:237] commit: 137230 abort: 6446 (651/5369/426), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1979611, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:14.371781 14365 Coordinator.h:237] commit: 137360 abort: 6406 (680/5302/424), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1981204, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:29:15.371855 14365 Coordinator.h:237] commit: 136744 abort: 6486 (694/5383/409), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1973006, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
