killing previous experiments...
initializing cxl memory...
I0914 14:57:17.155953 12391 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0914 14:57:17.155990 12391 Database.h:166] creating hash tables for database...
I0914 14:57:17.159739 12391 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0914 14:57:17.159961 12391 Database.h:146] district initialization finished in 0 milliseconds.
I0914 14:57:17.235977 12391 Database.h:146] customer initialization finished in 76 milliseconds.
I0914 14:57:17.250433 12391 Database.h:146] customer_name_idx initialization finished in 14 milliseconds.
I0914 14:57:17.292694 12391 Database.h:146] item initialization finished in 42 milliseconds.
I0914 14:57:17.460824 12391 Database.h:146] stock initialization finished in 168 milliseconds.
I0914 14:57:17.497403 12391 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0914 14:57:17.497417 12391 Coordinator.h:42] Coordinator initializes 2 workers.
I0914 14:57:17.499179 12391 SundialPashaHelper.h:415] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0914 14:57:17.499352 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.500507 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.501682 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.502862 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.504040 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.505187 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.506328 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.507475 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.508622 12391 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 503 Bytes)
I0914 14:57:17.508754 12405 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0914 14:57:17.508874 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.508888 12391 Coordinator.h:423] Coordinator 0 connected to 1
I0914 14:57:17.508955 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.508957 12391 Coordinator.h:423] Coordinator 0 connected to 2
I0914 14:57:17.509033 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.509037 12391 Coordinator.h:423] Coordinator 0 connected to 3
I0914 14:57:17.509352 12405 Socket.h:69] Disabling nagle
I0914 14:57:17.509361 12405 Coordinator.h:383] Listener accepted connection from coordinator 5
I0914 14:57:17.509367 12405 Socket.h:69] Disabling nagle
I0914 14:57:17.509368 12405 Coordinator.h:383] Listener accepted connection from coordinator 1
I0914 14:57:17.509368 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.509375 12405 Socket.h:69] Disabling nagle
I0914 14:57:17.509389 12405 Coordinator.h:383] Listener accepted connection from coordinator 3
I0914 14:57:17.509384 12391 Coordinator.h:423] Coordinator 0 connected to 4
I0914 14:57:17.509394 12405 Socket.h:69] Disabling nagle
I0914 14:57:17.509402 12405 Coordinator.h:383] Listener accepted connection from coordinator 4
I0914 14:57:17.509406 12405 Socket.h:69] Disabling nagle
I0914 14:57:17.509408 12405 Coordinator.h:383] Listener accepted connection from coordinator 2
I0914 14:57:17.509466 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.509469 12391 Coordinator.h:423] Coordinator 0 connected to 5
I0914 14:57:17.509583 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.509588 12391 Coordinator.h:423] Coordinator 0 connected to 6
I0914 14:57:17.509671 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.509683 12391 Coordinator.h:423] Coordinator 0 connected to 7
I0914 14:57:22.509250 12405 Socket.h:69] Disabling nagle
I0914 14:57:22.509258 12405 Coordinator.h:383] Listener accepted connection from coordinator 7
I0914 14:57:22.509418 12405 Socket.h:69] Disabling nagle
I0914 14:57:22.509423 12405 Coordinator.h:383] Listener accepted connection from coordinator 6
I0914 14:57:22.509423 12405 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0914 14:57:22.509493 12391 Coordinator.h:435] Coordinator 0 connected to all peers.
I0914 14:57:22.509518 12391 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0914 14:57:22.509531 12391 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0914 14:57:22.509585 12406 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0914 14:57:22.509606 12391 Coordinator.h:146] Coordinator starts to run 3 workers.
I0914 14:57:22.509624 12407 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0914 14:57:22.509675 12408 Executor.h:74] Executor 0 starts.
I0914 14:57:22.509714 12408 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0914 14:57:22.509729 12410 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0914 14:57:22.509766 12409 Executor.h:74] Executor 1 starts.
I0914 14:57:22.509773 12409 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0914 14:57:23.509788 12391 Coordinator.h:237] commit: 136332 abort: 6437 (718/5324/395), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1971189, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:35.510732 12391 Coordinator.h:237] commit: 137252 abort: 6380 (687/5302/391), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1982086, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:36.510802 12391 Coordinator.h:237] commit: 136446 abort: 6373 (664/5361/348), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1977628, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:37.510874 12391 Coordinator.h:237] commit: 136806 abort: 6401 (683/5333/385), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1978273, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:38.510944 12391 Coordinator.h:237] commit: 137014 abort: 6363 (694/5288/381), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1985372, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:39.511023 12391 Coordinator.h:237] commit: 136131 abort: 6474 (683/5366/425), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1973437, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:40.511098 12391 Coordinator.h:237] commit: 135993 abort: 6517 (766/5334/417), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1969753, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:41.511174 12391 Coordinator.h:237] commit: 136679 abort: 6424 (697/5332/395), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1977407, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:42.511250 12391 Coordinator.h:237] commit: 136752 abort: 6441 (706/5329/406), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1979642, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:43.511325 12391 Coordinator.h:237] commit: 137195 abort: 6372 (699/5310/363), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1978641, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:44.511400 12391 Coordinator.h:237] commit: 137085 abort: 6363 (669/5308/386), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1981268, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:45.511476 12391 Coordinator.h:237] commit: 137163 abort: 6431 (699/5393/339), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1977899, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:46.511548 12391 Coordinator.h:237] commit: 136794 abort: 6351 (654/5302/395), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1982519, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:47.511623 12391 Coordinator.h:237] commit: 137649 abort: 6351 (658/5298/395), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1983601, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:48.511701 12391 Coordinator.h:237] commit: 136177 abort: 6406 (653/5319/434), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1965918, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:49.511780 12391 Coordinator.h:237] commit: 136522 abort: 6442 (697/5345/400), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1971145, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:50.511854 12391 Coordinator.h:237] commit: 137057 abort: 6397 (693/5381/323), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1978886, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:51.511929 12391 Coordinator.h:237] commit: 137174 abort: 6351 (626/5340/385), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1982503, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:52.512001 12391 Coordinator.h:237] commit: 136721 abort: 6416 (705/5289/422), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1978164, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:53.512074 12391 Coordinator.h:237] commit: 136503 abort: 6380 (654/5327/399), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1974231, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:54.512152 12391 Coordinator.h:237] commit: 136918 abort: 6423 (694/5340/389), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1972562, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:55.512228 12391 Coordinator.h:237] commit: 135977 abort: 6458 (688/5372/398), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1968174, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 14:57:56.512298 12391 Coordinator.h:237] commit: 136352 abort: 6397 (676/5293/428), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1975485, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
