killing previous experiments...
initializing cxl memory...
I0913 22:21:43.800396 80727 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0913 22:21:43.800441 80727 Database.h:166] creating hash tables for database...
I0913 22:21:43.805200 80727 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0913 22:21:43.805351 80727 Database.h:146] district initialization finished in 0 milliseconds.
I0913 22:21:43.936468 80727 Database.h:146] customer initialization finished in 131 milliseconds.
I0913 22:21:43.953995 80727 Database.h:146] customer_name_idx initialization finished in 17 milliseconds.
I0913 22:21:44.021612 80727 Database.h:146] item initialization finished in 67 milliseconds.
I0913 22:21:44.302776 80727 Database.h:146] stock initialization finished in 281 milliseconds.
I0913 22:21:44.350594 80727 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0913 22:21:44.350610 80727 Coordinator.h:42] Coordinator initializes 2 workers.
I0913 22:21:44.350841 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.359946 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.369020 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.378136 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.387351 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.396521 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.405709 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.414938 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.424134 80727 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 8183 Bytes)
I0913 22:21:44.424389 80741 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0913 22:21:44.424459 80727 Coordinator.h:414] Coordinator 0 failed to connect 1(192.168.100.3:1234)'s listener 0, retry in 5 seconds.
I0913 22:21:49.424732 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424731 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.424747 80741 Coordinator.h:383] Listener accepted connection from coordinator 1
I0913 22:21:49.424757 80727 Coordinator.h:423] Coordinator 0 connected to 1
I0913 22:21:49.424768 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424772 80741 Coordinator.h:383] Listener accepted connection from coordinator 5
I0913 22:21:49.424777 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424779 80741 Coordinator.h:383] Listener accepted connection from coordinator 2
I0913 22:21:49.424784 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424786 80741 Coordinator.h:383] Listener accepted connection from coordinator 6
I0913 22:21:49.424791 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424793 80741 Coordinator.h:383] Listener accepted connection from coordinator 4
I0913 22:21:49.424800 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424803 80741 Coordinator.h:383] Listener accepted connection from coordinator 7
I0913 22:21:49.424808 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424810 80741 Coordinator.h:383] Listener accepted connection from coordinator 3
I0913 22:21:49.424811 80741 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0913 22:21:49.424868 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.424881 80727 Coordinator.h:423] Coordinator 0 connected to 2
I0913 22:21:49.424964 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.424968 80727 Coordinator.h:423] Coordinator 0 connected to 3
I0913 22:21:49.425041 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.425045 80727 Coordinator.h:423] Coordinator 0 connected to 4
I0913 22:21:49.425102 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.425105 80727 Coordinator.h:423] Coordinator 0 connected to 5
I0913 22:21:49.425161 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.425169 80727 Coordinator.h:423] Coordinator 0 connected to 6
I0913 22:21:49.425225 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.425230 80727 Coordinator.h:423] Coordinator 0 connected to 7
I0913 22:21:49.425240 80727 Coordinator.h:435] Coordinator 0 connected to all peers.
I0913 22:21:49.425256 80727 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0913 22:21:49.425395 80727 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0913 22:21:49.425436 80742 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0913 22:21:49.425469 80727 Coordinator.h:146] Coordinator starts to run 3 workers.
I0913 22:21:49.425496 80743 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0913 22:21:49.425695 80744 Executor.h:74] Executor 0 starts.
I0913 22:21:49.425734 80744 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0913 22:21:49.425812 80745 Executor.h:74] Executor 1 starts.
I0913 22:21:49.425843 80746 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0913 22:21:49.425848 80745 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0913 22:21:50.425900 80727 Coordinator.h:237] commit: 103770 abort: 5259 (488/4453/318), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:03.430490 80727 Coordinator.h:237] commit: 103540 abort: 5358 (508/4517/333), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:04.430853 80727 Coordinator.h:237] commit: 103819 abort: 5350 (518/4507/325), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:05.431190 80727 Coordinator.h:237] commit: 104123 abort: 5343 (505/4535/303), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:06.431560 80727 Coordinator.h:237] commit: 103933 abort: 5302 (531/4444/327), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:07.431912 80727 Coordinator.h:237] commit: 103654 abort: 5361 (494/4526/341), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:08.432268 80727 Coordinator.h:237] commit: 103932 abort: 5284 (484/4489/311), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:09.432597 80727 Coordinator.h:237] commit: 104205 abort: 5318 (500/4490/328), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:10.432971 80727 Coordinator.h:237] commit: 103619 abort: 5390 (517/4568/305), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:11.433328 80727 Coordinator.h:237] commit: 104379 abort: 5250 (506/4420/324), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:12.433708 80727 Coordinator.h:237] commit: 104147 abort: 5274 (506/4443/325), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:13.434042 80727 Coordinator.h:237] commit: 104010 abort: 5280 (517/4468/295), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:14.434367 80727 Coordinator.h:237] commit: 104381 abort: 5266 (530/4420/316), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:15.434705 80727 Coordinator.h:237] commit: 104205 abort: 5318 (529/4467/322), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:16.434859 80727 Coordinator.h:237] commit: 104308 abort: 5339 (534/4476/329), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:17.435052 80727 Coordinator.h:237] commit: 104126 abort: 5320 (525/4484/311), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:18.435245 80727 Coordinator.h:237] commit: 104246 abort: 5369 (559/4495/315), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:19.435444 80727 Coordinator.h:237] commit: 104494 abort: 5348 (544/4512/292), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:20.435633 80727 Coordinator.h:237] commit: 103798 abort: 5334 (490/4516/328), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:21.435981 80727 Coordinator.h:237] commit: 103887 abort: 5301 (474/4468/359), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:22.436349 80727 Coordinator.h:237] commit: 104277 abort: 5306 (502/4483/321), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:22:23.436653 80727 Coordinator.h:237] commit: 104274 abort: 5250 (523/4412/315), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
