Policy,tput,CXL_usage_index,CXL_usage_data,CXL_usage_transport,msg_exchange_num,msg_exchange_size,abort_rate,local_cxl_access_ratio,remote_access_with_req_ratio,data_move_in_num,data_move_out_num,data_move_in_size,data_move_out_size,num_clflush,num_clwb,num_cache_hit,num_cache_miss,cache_hit_rate
Eagerly-OnDemand-100MB-NonTemporal,390486,19873312,101763478,16777664,38251,918024,0.0585887,97.1604%,1.35919%,11109,0,12726722,0,29909162,13605286,0,0,-nan%
Eagerly-Reactive-1-WriteThrough,383743,19970592,49706212,16777664,785860,18860640,0.0512061,1.94442%,87.1706%,732671,732678,265050060,258813588,2341688,964664,1603823,2341688,40.6493%
Eagerly-Reactive-1-NoOP,405267,20111200,3320,16777664,822127,19731048,0.0489375,1.87235%,87.9431%,765859,765864,271021228,271020398,0,0,0,0,-nan%
Eagerly-Reactive-1-NonTemporal,389747,20014016,6640,16777664,799237,19181688,0.0515889,1.91752%,86.9982%,743949,743954,262687364,262687364,3986643,967125,0,0,-nan%
OnDemandFIFO-OnDemand-10K-WriteThrough,357735,19800704,36563916,16777664,569999,13679976,0.0588379,13.4707%,66.4576%,530328,530328,193760390,189191362,2078469,2477744,4830067,2078469,69.9145%
OnDemandFIFO-OnDemand-10K-NoOP,379328,19960320,79680,16777664,605968,14543232,0.0566385,13.423%,67.0183%,560755,560754,199858688,199848728,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-10K-NonTemporal,359596,19783456,79680,16777664,572158,13731792,0.0601608,13.4542%,66.4626%,534240,534240,188953152,188943192,6876069,2459225,0,0,-nan%
OnDemandFIFO-OnDemand-100K-WriteThrough,341947,19670688,26659120,16777664,402945,9670680,0.0644179,33.1177%,48.5743%,373315,373316,136775200,133457028,1982221,4939665,10066570,1982221,83.5484%
OnDemandFIFO-OnDemand-100K-NoOP,364627,19863520,799456,16777664,430442,10330608,0.0617955,33.0701%,48.6619%,400757,400756,143104284,143004352,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-100K-NonTemporal,334343,19550368,799456,16777664,392959,9431016,0.0654119,33.1017%,48.5414%,367843,367843,130169398,130069466,11696968,4782271,0,0,-nan%
OnDemandFIFO-OnDemand-1MB-WriteThrough,366810,19812288,24270920,16777664,254398,6105552,0.0643054,56.6278%,29.0664%,240786,240786,86798430,83756130,2080429,8484628,17428975,2080429,89.3363%
OnDemandFIFO-OnDemand-1MB-NoOP,398667,20046144,7999872,16777664,276248,6629952,0.0613571,56.6017%,29.3768%,261615,261615,91677816,90677832,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-1MB-NonTemporal,340706,19558784,7999872,16777664,232023,5568552,0.0655667,56.7136%,29.2364%,222513,222513,77476184,76476200,18072964,7848243,0,0,-nan%
OnDemandFIFO-OnDemand-10MB-WriteThrough,447399,20263072,83832984,16777664,60273,1446552,0.0575447,92.3157%,4.32814%,41660,41660,20324520,9846456,2428231,15494271,31642606,2428231,92.873%
OnDemandFIFO-OnDemand-10MB-NoOP,507004,20521632,79998720,16777664,66336,1592064,0.0539271,91.9051%,4.43043%,48262,48262,22081818,12081978,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-10MB-NonTemporal,379282,19827040,79998720,16777664,54065,1297560,0.0601268,91.0427%,4.70847%,38107,38107,17949082,7949242,28340027,12833469,0,0,-nan%
OnDemandFIFO-OnDemand-100MB-WriteThrough,472985,20350080,106748440,16777664,39418,946032,0.0554079,98.2944%,0.941776%,9466,0,13351290,0,2516751,16580954,33758727,2516751,93.0621%
OnDemandFIFO-OnDemand-100MB-NoOP,544606,20606624,105567534,16777664,39894,957456,0.0510506,98.4103%,0.742548%,8407,0,13197000,0,0,0,0,0,-nan%
OnDemandFIFO-OnDemand-100MB-NonTemporal,390741,19869472,101743558,16777664,38598,926352,0.0585961,96.5659%,1.34002%,11207,0,12719916,0,30057395,13671528,0,0,-nan%
