killing previous experiments...
initializing cxl memory...
I0912 20:35:54.580006 70553 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0912 20:35:54.580050 70553 Database.h:166] creating hash tables for database...
I0912 20:35:54.584878 70553 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0912 20:35:54.585122 70553 Database.h:146] district initialization finished in 0 milliseconds.
I0912 20:35:54.716847 70553 Database.h:146] customer initialization finished in 131 milliseconds.
I0912 20:35:54.734334 70553 Database.h:146] customer_name_idx initialization finished in 17 milliseconds.
I0912 20:35:54.803673 70553 Database.h:146] item initialization finished in 69 milliseconds.
I0912 20:35:55.086335 70553 Database.h:146] stock initialization finished in 282 milliseconds.
I0912 20:35:55.134061 70553 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0912 20:35:55.134078 70553 Coordinator.h:42] Coordinator initializes 2 workers.
I0912 20:35:55.135337 70553 SundialPashaHelper.h:415] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0912 20:35:55.135584 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.136269 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.136972 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.137678 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.138437 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.139132 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.139829 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.140518 70553 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0912 20:35:55.141202 70553 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 503 Bytes)
I0912 20:35:55.141471 70567 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0912 20:35:55.141963 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.141978 70553 Coordinator.h:423] Coordinator 0 connected to 1
I0912 20:35:55.142176 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142181 70553 Coordinator.h:423] Coordinator 0 connected to 2
I0912 20:35:55.142335 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142340 70553 Coordinator.h:423] Coordinator 0 connected to 3
I0912 20:35:55.142488 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142499 70553 Coordinator.h:423] Coordinator 0 connected to 4
I0912 20:35:55.142608 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142613 70553 Coordinator.h:423] Coordinator 0 connected to 5
I0912 20:35:55.142748 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142755 70553 Coordinator.h:423] Coordinator 0 connected to 6
I0912 20:35:55.142884 70553 Socket.h:69] Disabling nagle
I0912 20:35:55.142889 70553 Coordinator.h:423] Coordinator 0 connected to 7
I0912 20:36:00.141705 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141719 70567 Coordinator.h:383] Listener accepted connection from coordinator 2
I0912 20:36:00.141728 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141731 70567 Coordinator.h:383] Listener accepted connection from coordinator 7
I0912 20:36:00.141737 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141739 70567 Coordinator.h:383] Listener accepted connection from coordinator 6
I0912 20:36:00.141744 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141746 70567 Coordinator.h:383] Listener accepted connection from coordinator 3
I0912 20:36:00.141752 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141754 70567 Coordinator.h:383] Listener accepted connection from coordinator 5
I0912 20:36:00.141935 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.141939 70567 Coordinator.h:383] Listener accepted connection from coordinator 1
I0912 20:36:00.142058 70567 Socket.h:69] Disabling nagle
I0912 20:36:00.142066 70567 Coordinator.h:383] Listener accepted connection from coordinator 4
I0912 20:36:00.142067 70567 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0912 20:36:00.142146 70553 Coordinator.h:435] Coordinator 0 connected to all peers.
I0912 20:36:00.142174 70553 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0912 20:36:00.142187 70553 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0912 20:36:00.142235 70568 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0912 20:36:00.142267 70553 Coordinator.h:146] Coordinator starts to run 3 workers.
I0912 20:36:00.142302 70569 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0912 20:36:00.142410 70570 Executor.h:74] Executor 0 starts.
I0912 20:36:00.142436 70572 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0912 20:36:00.142565 70570 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0912 20:36:00.142445 70571 Executor.h:74] Executor 1 starts.
I0912 20:36:00.142637 70571 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0912 20:36:01.142496 70553 Coordinator.h:237] commit: 80115 abort: 5165 (386/4357/422), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 170900, avg network size: 2.13318, si_in_serializable: 0 0 %, local: 12.7167 %, local_access: 1157562, local_cxl_access: 22299 (1.92638%), remote_access: 10192, remote_access_with_req: 5778 (56.6915%), data_move_in: 5695, n_data_move_out: 3965
I0912 20:36:13.146689 70553 Coordinator.h:237] commit: 75269 abort: 5069 (338/4288/443), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 156868, avg network size: 2.0841, si_in_serializable: 0 0 %, local: 12.4832 %, local_access: 1094660, local_cxl_access: 21471 (1.96143%), remote_access: 9483, remote_access_with_req: 5305 (55.9422%), data_move_in: 5329, n_data_move_out: 5903
I0912 20:36:14.146996 70553 Coordinator.h:237] commit: 76266 abort: 5065 (385/4296/384), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 161940, avg network size: 2.12336, si_in_serializable: 0 0 %, local: 12.522 %, local_access: 1110180, local_cxl_access: 22451 (2.02228%), remote_access: 9558, remote_access_with_req: 5477 (57.3028%), data_move_in: 5219, n_data_move_out: 3931
I0912 20:36:15.147330 70553 Coordinator.h:237] commit: 74886 abort: 5156 (362/4392/402), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 154408, avg network size: 2.06191, si_in_serializable: 0 0 %, local: 12.6472 %, local_access: 1093851, local_cxl_access: 21593 (1.97403%), remote_access: 9579, remote_access_with_req: 5227 (54.5673%), data_move_in: 5238, n_data_move_out: 5953
I0912 20:36:16.147662 70553 Coordinator.h:237] commit: 74028 abort: 7810 (383/7026/401), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 156796, avg network size: 2.11806, si_in_serializable: 0 0 %, local: 12.6263 %, local_access: 1110445, local_cxl_access: 22795 (2.05278%), remote_access: 9399, remote_access_with_req: 5306 (56.4528%), data_move_in: 5248, n_data_move_out: 5958
I0912 20:36:17.148010 70553 Coordinator.h:237] commit: 75767 abort: 5057 (368/4296/393), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 157344, avg network size: 2.07668, si_in_serializable: 0 0 %, local: 12.4658 %, local_access: 1107371, local_cxl_access: 21586 (1.9493%), remote_access: 9493, remote_access_with_req: 5324 (56.0834%), data_move_in: 5238, n_data_move_out: 3962
I0912 20:36:18.148345 70553 Coordinator.h:237] commit: 73039 abort: 5227 (336/4443/448), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 153444, avg network size: 2.10085, si_in_serializable: 0 0 %, local: 12.4112 %, local_access: 1064371, local_cxl_access: 20469 (1.92311%), remote_access: 9108, remote_access_with_req: 5192 (57.0048%), data_move_in: 5267, n_data_move_out: 5908
I0912 20:36:19.148712 70553 Coordinator.h:237] commit: 72830 abort: 5177 (355/4365/457), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 155620, avg network size: 2.13676, si_in_serializable: 0 0 %, local: 12.6624 %, local_access: 1058272, local_cxl_access: 20482 (1.93542%), remote_access: 9435, remote_access_with_req: 5264 (55.7923%), data_move_in: 5147, n_data_move_out: 5820
I0912 20:36:20.149066 70553 Coordinator.h:237] commit: 74765 abort: 5090 (352/4349/389), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 155104, avg network size: 2.07455, si_in_serializable: 0 0 %, local: 12.4149 %, local_access: 1087747, local_cxl_access: 22366 (2.05618%), remote_access: 9332, remote_access_with_req: 5244 (56.1937%), data_move_in: 5334, n_data_move_out: 3997
I0912 20:36:21.149415 70553 Coordinator.h:237] commit: 72386 abort: 5193 (364/4401/428), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 151984, avg network size: 2.09963, si_in_serializable: 0 0 %, local: 12.4872 %, local_access: 1058999, local_cxl_access: 19978 (1.8865%), remote_access: 9078, remote_access_with_req: 5145 (56.6755%), data_move_in: 5101, n_data_move_out: 5883
I0912 20:36:22.149749 70553 Coordinator.h:237] commit: 72205 abort: 5159 (362/4331/466), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 154228, avg network size: 2.13597, si_in_serializable: 0 0 %, local: 12.7373 %, local_access: 1062573, local_cxl_access: 22023 (2.07261%), remote_access: 9307, remote_access_with_req: 5207 (55.9471%), data_move_in: 4998, n_data_move_out: 3935
I0912 20:36:23.150095 70553 Coordinator.h:237] commit: 73801 abort: 5062 (367/4300/395), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 154452, avg network size: 2.09282, si_in_serializable: 0 0 %, local: 12.5283 %, local_access: 1077344, local_cxl_access: 19353 (1.79636%), remote_access: 9369, remote_access_with_req: 5228 (55.801%), data_move_in: 5311, n_data_move_out: 5907
I0912 20:36:24.150452 70553 Coordinator.h:237] commit: 70897 abort: 5004 (360/4229/415), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 151896, avg network size: 2.14249, si_in_serializable: 0 0 %, local: 12.5971 %, local_access: 1032045, local_cxl_access: 20124 (1.94991%), remote_access: 9052, remote_access_with_req: 5138 (56.7609%), data_move_in: 5061, n_data_move_out: 5908
I0912 20:36:25.150816 70553 Coordinator.h:237] commit: 72981 abort: 5006 (354/4275/377), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 151992, avg network size: 2.08262, si_in_serializable: 0 0 %, local: 12.4402 %, local_access: 1065722, local_cxl_access: 21146 (1.98419%), remote_access: 9267, remote_access_with_req: 5143 (55.498%), data_move_in: 5183, n_data_move_out: 3928
I0912 20:36:26.151149 70553 Coordinator.h:237] commit: 71063 abort: 5303 (354/4472/477), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 150388, avg network size: 2.11626, si_in_serializable: 0 0 %, local: 12.4833 %, local_access: 1033408, local_cxl_access: 19212 (1.85909%), remote_access: 8978, remote_access_with_req: 5080 (56.5828%), data_move_in: 5128, n_data_move_out: 5949
I0912 20:36:27.151506 70553 Coordinator.h:237] commit: 71920 abort: 5126 (364/4375/387), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 149932, avg network size: 2.08471, si_in_serializable: 0 0 %, local: 12.5556 %, local_access: 1051210, local_cxl_access: 22564 (2.14648%), remote_access: 9188, remote_access_with_req: 5071 (55.1916%), data_move_in: 4943, n_data_move_out: 3970
I0912 20:36:28.151840 70553 Coordinator.h:237] commit: 71353 abort: 5286 (340/4393/553), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 152148, avg network size: 2.13233, si_in_serializable: 0 0 %, local: 12.7227 %, local_access: 1050780, local_cxl_access: 18917 (1.80028%), remote_access: 9268, remote_access_with_req: 5141 (55.4704%), data_move_in: 5244, n_data_move_out: 5903
I0912 20:36:29.152181 70553 Coordinator.h:237] commit: 69759 abort: 5182 (312/4357/513), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 148668, avg network size: 2.13117, si_in_serializable: 0 0 %, local: 12.5088 %, local_access: 1020990, local_cxl_access: 21637 (2.11922%), remote_access: 8817, remote_access_with_req: 5026 (57.0035%), data_move_in: 4972, n_data_move_out: 5923
I0912 20:36:30.152523 70553 Coordinator.h:237] commit: 71716 abort: 5062 (352/4345/365), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 154328, avg network size: 2.15193, si_in_serializable: 0 0 %, local: 12.5927 %, local_access: 1045573, local_cxl_access: 19661 (1.8804%), remote_access: 9131, remote_access_with_req: 5214 (57.1022%), data_move_in: 5252, n_data_move_out: 3923
I0912 20:36:31.152894 70553 Coordinator.h:237] commit: 70757 abort: 5261 (336/4471/454), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 146904, avg network size: 2.07618, si_in_serializable: 0 0 %, local: 12.485 %, local_access: 1028121, local_cxl_access: 19573 (1.90376%), remote_access: 8944, remote_access_with_req: 4965 (55.5121%), data_move_in: 4937, n_data_move_out: 5880
I0912 20:36:32.153229 70553 Coordinator.h:237] commit: 71404 abort: 5226 (370/4481/375), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 147936, avg network size: 2.07182, si_in_serializable: 0 0 %, local: 12.4587 %, local_access: 1045222, local_cxl_access: 21221 (2.03029%), remote_access: 9135, remote_access_with_req: 5000 (54.7345%), data_move_in: 5024, n_data_move_out: 3982
